Position	Country	Total_Cases	New_Cases	Total_Deaths	New_Deaths	Total_Recovered	New_Recovered	Active_Cases	Serious_Critical	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population	Region	Bla
1	China	90,468	+11	4,636 		85,533	+9	299	5	63	3	160,000,000	111,163	1,439,323,776 	Asia	15,910310,4679
2	USA	32,305,912	+81,773	579,942 	+887	24,836,187	+65,207	6,889,783	9,712	97,150	1,744	426,562,606	1,282,751	332,537,343 	North America	105731
3	India	14,521,683	+233,943	175,673 	+1,338	12,666,889	+122,911	1,679,121	8,944	10,442	126	263,476,625	189,454	1,390,716,194 	Asia	967,9175
4	Brazil	13,834,342	+76,249	369,024 	+3,070	12,298,863	+62,568	1,166,455	8,318	64,721	1,726	28,600,000	133,799	213,753,558 	South America	155797
5	France	5,224,321	+36,442	100,404 	+313	4,046,518	+38,187	1,077,399	5,914	79,897	1,536	71,424,719	1,092,324	65,387,859 	Europe	136511
6	Russia	4,684,148	+8,995	104,795 	+397	4,310,557	+9,109	268,796	2,300	32,087	718	125,100,000	856,943	145,984,033 	Europe	311,3931
7	UK	4,383,572	+2,596	127,225 	+34	4,139,553	+5,717	116,794	329	64,305	1,866	140,944,028	2,067,597	68,168,033 	Europe	165360
8	Turkey	4,150,039	+63,082	35,320 	+289	3,591,550	+56,510	523,169	3,205	48,792	415	43,148,200	507,296	85,055,316 	Asia	202,4082
9	Italy	3,842,079	+15,943	116,366 	+429	3,218,975	+18,779	506,738	3,366	63,620	1,927	54,532,594	902,987	60,391,353 	Europe	165191
10	Spain	3,407,283	+10,598	76,981 	+99	3,129,234	+5,966	201,068	2,180	72,853	1,646	44,285,495	946,896	46,769,124 	Europe	146081
11	Germany	3,116,950	+21,934	80,387 	+246	2,752,000	+15,900	284,563	4,740	37,108	957	52,737,238	627,854	83,995,966 	Europe	271,0452
12	Poland	2,660,088	+17,847	61,208 	+595	2,255,232	+16,594	343,648	3,425	70,347	1,619	13,335,088	352,652	37,813,758 	Europe	146183
13	Argentina	2,658,628	+29,472	59,084 	+159	2,324,107	+23,875	275,437	3,971	58,401	1,298	10,024,309	220,202	45,523,287 	South America	177705
14	Colombia	2,619,422	+16,703	67,564 	+365	2,442,453	+10,392	109,405	4,299	51,050	1,317	13,693,403	266,871	51,310,940 	South America	207594
15	Mexico	2,295,435	+4,189	211,213 	+401	1,820,959	+3,093	263,263	4,798	17,657	1,625	6,355,381	48,887	130,001,965 	North America	5761620
16	Iran	2,194,133	+25,261	66,008 	+328	1,761,497	+12,456	366,628	4,652	25,862	778	14,165,771	166,969	84,840,750 	Asia	391,2856
17	Ukraine	1,921,244	+17,479	39,096 	+438	1,465,820	+12,054	416,328	177	44,141	898	8,869,518	203,779	43,525,192 	Europe	231,1135
18	Peru	1,689,051	+7,988	56,454 	+305	1,610,563	+8,529	22,034	2,591	50,671	1,694	10,295,559	308,862	33,333,897 	South America	205903
19	Czechia	1,597,103	+3,238	28,317 	+38	1,485,924	+237	82,862	1,016	148,918	2,640	15,332,422	1,429,635	10,724,712 	Europe	73791
20	Indonesia	1,594,722	+5,363	43,196 	+123	1,444,229	+5,975	107,297		5,782	157	13,732,975	49,792	275,806,497 	Asia	1736,38520
21	South Africa	1,564,355	+1,424	53,663 	+92	1,488,572	+512	22,120	546	26,117	896	10,291,264	171,812	59,898,425 	Africa	381,1166
22	Netherlands	1,387,043	+8,898	16,873 	+12	1,156,626	+5,910	213,544	775	80,807	983	11,292,587	657,889	17,164,888 	Europe	121,0172
23	Chile	1,109,311	+7,613	24,923 	+157	1,037,539	+4,350	46,849	3,277	57,639	1,295	12,206,029	634,217	19,245,815 	South America	177722
24	Canada	1,106,062	+9,346	23,541 	+41	997,202	+7,128	85,319	1,089	29,104	619	29,497,034	776,166	38,003,522 	North America	341,6141
25	Romania	1,023,565	+3,264	25,937 	+137	930,942	+5,547	66,686	1,493	53,490	1,355	7,847,540	410,097	19,135,798 	Europe	197382
26	Iraq	964,435	+7,561	14,915 	+30	843,851	+6,515	105,669	494	23,562	364	8,732,638	213,348	40,931,458 	Asia	422,7445
27	Belgium	939,309	+3,993	23,636 	+33	789,423	+3,128	126,250	941	80,769	2,032	11,864,005	1,020,162	11,629,525 	Europe	124921
28	Philippines	914,971	+10,726	15,738 	+145	705,757	+650	193,476	750	8,263	142	11,036,556	99,670	110,731,018 	Asia	1217,03610
29	Sweden	900,138		13,788  	+36	724,684	+6,406	161,666	391	88,692	1,359	7,847,033	773,179	10,149,050 	Europe	117361
30	Israel	836,740	+34	6,315 	+1	827,745	+298	2,680	201	90,974	687	13,929,118	1,514,431	9,197,590 	Asia	111,4561
31	Portugal	829,911	+553	16,937 	+4	787,607	+596	25,367	101	81,579	1,665	9,690,372	952,546	10,173,131 	Europe	126011
32	Pakistan	745,182	+5,364	15,982 	+110	650,775	+4,123	78,425	4,302	3,323	71	11,007,252	49,081	224,265,640 	Asia	30114,03220
33	Hungary	742,198	+5,216	24,762 	+241	445,920	+5,422	271,516	1,117	76,984	2,568	5,065,759	525,445	9,640,900 	Europe	133892
34	Bangladesh	711,779	+4,417	10,182 	+101	602,908	+5,694	98,689		4,288	61	5,134,478	30,933	165,984,716 	Asia	23316,30232
35	Jordan	681,870	+2,732	8,117 	+60	625,912	+4,042	47,841	729	66,310	789	6,448,333	627,081	10,283,101 	Asia	151,2672
36	Serbia	657,716	+2,846	5,920 	+39	579,625	+3,854	72,171	239	75,518	680	3,661,150	420,365	8,709,451 	Europe	131,4712
37	Switzerland	632,399	+2,205	10,503 	+5	566,679	+1,829	55,217	222	72,651	1,207	6,538,153	751,111	8,704,639 	Europe	148291
38	Austria	589,299	+2,416	9,843 	+30	550,470	+2,866	28,986	558	65,137	1,088	28,298,620	3,127,945	9,047,032 	Europe	159190
39	Japan	520,745	+4,576	9,538 	+39	475,574	+2,184	35,633	670	4,127	76	10,754,285	85,237	126,169,398 	Asia	24213,22812
40	Lebanon	506,808	+2,008	6,854 	+45	420,223	+3,599	79,731	795	74,518	1,008	3,796,562	558,220	6,801,193 	Asia	139922
41	Morocco	504,847	+587	8,934 	+7	490,921	+555	4,992	243	13,551	240	6,137,435	164,738	37,255,697 	Africa	744,1706
42	UAE	493,266	+1,843	1,547 	+2	476,518	+1,506	15,201		49,402	155	41,349,068	4,141,257	9,984,665 	Asia	206,4540
43	Saudi Arabia	403,106	+964	6,801 	+10	387,020	+918	9,285	1,034	11,439	193	16,072,606	456,077	35,240,955 	Asia	875,1822
44	Bulgaria	384,887	+2,126	15,100 	+121	304,033	+3,642	65,754	801	55,725	2,186	2,349,606	340,182	6,906,904 	Europe	184573
45	Slovakia	374,586	+636	10,970 	+93	255,300		108,316	452	68,584	2,009	2,473,314	452,844	5,461,737 	Europe	154982
46	Malaysia	370,528	+2,551	1,365 	+2	350,563	+1,524	18,600	227	11,334	42	8,472,685	259,159	32,693,019 	Asia	8823,9514
47	Panama	360,249	+419	6,185 	+2	350,134	+416	3,930	105	82,470	1,416	2,283,594	522,769	4,368,267 	North America	127062
48	Ecuador	355,964	+533	17,528 	+39	298,604		39,832	631	19,937	982	1,218,869	68,268	17,854,124 	South America	501,01915
49	Belarus	341,539	+1,516	2,403 	+10	331,972	+1,489	7,164		36,154	254	5,627,834	595,736	9,446,860 	Europe	283,9312
50	Greece	311,033	+3,027	9,330 	+91	266,175	+1,851	35,528	824	29,957	899	7,379,458	710,749	10,382,653 	Europe	331,1131
51	Croatia	303,598	+2,698	6,486 	+44	281,059	+1,908	16,053	186	74,317	1,588	1,683,651	412,137	4,085,169 	Europe	136302
52	Azerbaijan	296,374	+2,163	4,077 	+32	260,193	+2,251	32,104		29,024	399	3,082,157	301,836	10,211,352 	Asia	342,5053
53	Georgia	293,321	+1,077	3,916 	+8	279,831	+442	9,574		73,641	983	3,822,921	959,786	3,983,096 	Asia	141,0171
54	Bolivia	286,114	+823	12,603 	+84	235,495	+899	38,016	71	24,250	1,068	1,027,781	87,111	11,798,547 	South America	4193611
55	Nepal	282,890	+836	3,070 	+4	274,812	+208	5,008		9,574	104	2,335,084	79,024	29,549,209 	Asia	1049,62513
56	Tunisia	281,777	+2,401	9,639 	+86	232,643	+1,358	39,495	457	23,646	809	1,215,518	102,005	11,916,231 	Africa	421,23610
57	Kazakhstan	281,351	+2,656	3,333 	+27	241,625	+2,177	36,393	221	14,844	176	9,464,077	499,321	18,953,882 	Asia	675,6872
58	Palestine	278,135	+1,728	2,955 	+18	243,522	+2,179	31,658	172	53,544	569	1,670,034	321,499	5,194,531 	Asia	191,7583
