Position	Country	Total_Cases	New_Cases	Total_Deaths	New_Deaths	Total_Recovered	New_Recovered	Active_Cases	Serious_Critical	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population	Region	Bla
1	China	90,655	+13	4,636 		85,691	+9	328	3	63	3	160,000,000	111,163	1,439,323,776 	Asia	15,877310,4679	0.01		0.2
2	USA	33,103,974	+59,906	590,055 	+784	25,710,142	+68,568	6,803,777	9,625	99,527	1,774	446,627,197	1,342,790	332,611,450 	North America	105641	180	2	20,456
3	India	19,157,094	+402,110	211,835 	+3,522	15,673,003	+299,238	3,272,256	8,944	13,770	152	286,392,086	205,855	1,391,234,758 	Asia	736,5685	289	3	2,352
4	Brazil	14,665,962	+73,076	404,287 	+2,870	13,194,538	+42,420	1,067,137	8,318	68,593	1,891	43,818,216	204,939	213,811,266 	South America	155295	342	13	4,991
5	France	5,616,689	+24,299	104,514 	+276	4,540,185	+41,587	971,990	5,675	85,891	1,598	75,976,229	1,161,834	65,393,368 	Europe	126261	372	4	14,864
6	Turkey	4,820,591	+31,891	40,131 	+394	4,323,897	+68,183	456,563	3,534	56,653	472	47,261,999	555,435	85,090,011 	Asia	182,1202	375	5	5,366
7	Russia	4,805,288	+8,731	110,128 	+397	4,427,946	+8,406	267,214	2,300	32,916	754	129,100,000	884,329	145,986,418 	Europe	301,3261	60	3	1,830
8	UK	4,416,623	+2,381	127,517 	+15	4,214,791	+4,448	74,315	196	64,777	1,870	156,302,824	2,292,447	68,181,646 	Europe	155350	35	0.2	1,090
9	Italy	4,022,653	+13,446	120,807 	+263	3,465,676	+15,721	436,170	2,583	66,613	2,001	58,579,752	970,057	60,387,966 	Europe	155001	223	4	7,223
10	Spain	3,524,077	+9,135	78,216 	+136	3,206,273	+13,303	239,588	2,308	75,349	1,672	46,199,597	987,808	46,769,814 	Europe	135981	195	3	5,123
11	Germany	3,392,232	+12,845	83,542 	+204	2,995,200	+20,000	313,490	5,049	40,381	994	55,490,413	660,552	84,006,186 	Europe	251,0062	153	2	3,732
12	Argentina	2,977,363	+22,420	63,865 	+357	2,634,306	+26,229	279,192	5,369	65,380	1,402	11,148,350	244,808	45,539,136 	South America	157134	492	8	6,131
13	Colombia	2,859,724	+17,790	73,720 	+490	2,669,308	+18,665	116,696	6,006	55,711	1,436	14,802,786	288,375	51,331,673 	South America	186963	347	10	2,273
14	Poland	2,792,148	+6,802	67,501 	+428	2,496,810	+13,030	227,837	2,831	73,843	1,785	14,321,250	378,747	37,812,179 	Europe	145603	180	11	6,025
15	Iran	2,499,077	+19,272	71,758 	+407	1,954,321	+16,257	472,998	5,398	29,442	845	15,830,271	186,498	84,881,872 	Asia	341,1835	227	5	5,572
16	Mexico	2,340,934	+3,990	216,447 	+529	1,861,861	+3,017	262,626	4,798	18,000	1,664	6,612,450	50,844	130,053,749 	North America	5660120	31	4	2,019
17	Ukraine	2,069,537	+10,072	44,085 	+307	1,655,525	+20,192	369,927	177	47,559	1,013	9,418,779	216,448	43,515,195 	Europe	219875	231	7	8,501
18	Peru	1,799,445	+7,447	61,477 	+376	1,688,091		49,877	2,652	53,954	1,843	11,169,530	334,904	33,351,471 	South America	195433	223	11	1,495
19	Indonesia	1,668,368	+5,500	45,521 	+187	1,522,634	+5,202	100,213		6,047	165	14,640,442	53,061	275,917,066 	Asia	1656,06119	20	0.7	363
20	Czechia	1,630,771	+2,225	29,300 	+38	1,555,002	+156	46,469	553	152,047	2,732	18,138,011	1,691,116	10,725,469 	Europe	73661	207	4	4,333
21	South Africa	1,581,210	+1,674	54,350 	+19	1,505,620	+1,194	21,240	546	26,386	907	10,654,870	177,797	59,927,026 	Africa	381,1036	28	0.3	354
22	Netherlands	1,496,352	+7,758	17,148 	+22	1,255,490	+7,611	223,714	811	87,168	999	12,274,847	715,053	17,166,334 	Europe	111,0011	452	1	13,032
23	Canada	1,219,425	+8,342	24,219 	+50	1,111,887	+8,425	83,319	1,422	32,076	637	31,479,292	828,050	38,016,166 	North America	311,5701	219	1	2,192
24	Chile	1,198,245	+7,254	26,353 	+106	1,129,347	+3,586	42,545	3,345	62,240	1,369	13,051,622	677,933	19,252,084 	South America	167311	377	6	2,210
25	Iraq	1,065,199	+6,405	15,465 	+32	942,046	+7,111	107,688	562	26,002	378	9,338,101	227,947	40,966,067 	Asia	382,6494	156	0.8	2,629
26	Romania	1,055,265	+1,636	28,109 	+138	989,393	+3,566	37,763	1,284	55,160	1,469	8,257,487	431,631	19,130,916 	Europe	186812	86	7	1,974
27	Philippines	1,037,427	+8,715	17,234 	+89	946,242	+4,067	73,951	750	9,364	156	11,805,080	106,557	110,786,813 	Asia	1076,4289	79	0.8	668
28	Belgium	986,622	+3,663	24,185 	+45	848,796		113,641	886	84,824	2,079	12,475,193	1,072,540	11,631,450 	Europe	124811	315	4	9,770
29	Sweden	973,604		14,048 	+33	799,710	+8,835	159,846	392	95,908	1,384	8,482,276	835,573	10,151,454 	Europe	107231		3	15,746
30	Israel	838,481	+74	6,363 	+1	830,625	+95	1,493	110	91,163	692	14,200,104	1,543,894	9,197,590 	Asia	111,4451	8	0.1	162
31	Portugal	836,493	+460	16,974 		795,838	+512	23,681	89	82,235	1,669	10,515,374	1,033,757	10,171,999 	Europe	125991	45		2,328
32	Pakistan	820,823	+5,112	17,811 	+131	711,465	+3,272	91,547	5,360	3,657	79	11,788,126	52,525	224,429,976 	Asia	27312,60119	23	0.6	408
33	Hungary	779,348	+2,365	27,540 	+182	510,379	+6,682	241,429	677	80,846	2,857	5,373,540	557,423	9,639,966 	Europe	123502	245	19	25,045
34	Bangladesh	759,132	+2,177	11,450 	+57	681,426	+4,325	66,256		4,572	69	5,469,704	32,941	166,047,429 	Asia	21914,50230	13	0.3	399
35	Jordan	711,373	+1,556	8,836 	+35	682,503	+1,596	20,034	729	69,153	859	6,704,884	651,784	10,286,973 	Asia	141,1642	151	3	1,948
36	Serbia	689,557	+1,613	6,362 	+25	635,871	+2,707	47,324	169	79,186	731	3,839,381	440,897	8,708,111 	Europe	131,3692	185	3	5,434
37	Switzerland	659,974	+1,831	10,632 	+7	590,565	+2,403	58,777	238	75,798	1,221	6,911,371	793,767	8,707,056 	Europe	138191	210	0.8	6,751
38	Austria	618,870	+2,131	10,205 	+26	584,777	+2,202	23,888	501	68,391	1,128	31,892,904	3,524,470	9,048,994 	Europe	158870	235	3	2,640
39	Japan	586,938	+5,897	10,194 	+87	519,047	+3,487	57,697	978	4,653	81	11,831,534	93,786	126,154,653 	Asia	21512,37511	47	0.7	457
40	Lebanon	526,578	+1,001	7,278 	+29	461,122	+3,364	58,178	586	77,438	1,070	3,997,716	587,897	6,800,030 	Asia	139342	147	4	8,556
41	UAE	520,236	+1,974	1,587 	+3	500,779	+1,836	17,870		52,080	159	44,108,915	4,415,645	9,989,235 	Asia	196,2940	198	0.3	1,789
42	Morocco	511,249	+363	9,023 	+3	497,621	+516	4,605	210	13,717	242	6,261,875	168,003	37,272,427 	Africa	734,1316	10	0.08	124
43	Saudi Arabia	417,363	+1,056	6,957 	+11	400,580	+1,071	9,826	1,335	11,836	197	16,903,813	479,382	35,261,708 	Asia	845,0692	30	0.3	279
44	Malaysia	408,713	+3,788	1,506 	+14	377,980	+2,640	29,227	328	12,495	46	9,404,236	287,513	32,708,881 	Asia	8021,7193	116	0.4	894
45	Bulgaria	404,380	+652	16,399 	+31	339,534	+1,222	48,447	674	58,564	2,375	2,518,362	364,720	6,904,914 	Europe	174213	94	4	7,016
