Country,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,New_Recovered,Active_Cases,Serious_Critical,Tot_Cases/1M_pop,Deaths/1M_pop,Total_Tests,Tests/1M_pop,Population,Region,Day
China,90435,9.0,4636,0.0,85506,11.0,293,4.0,63,3.0,160000000,111163,1439323776,Asia,13-04-2021
USA,32070784,77720.0,577177,819.0,24626410,65554.0,6867197,9540.0,96446,1736.0,422126761,1269452,332526757,North America,13-04-2021
India,13871321,185248.0,172115,1026.0,12332688,82248.0,1366518,8944.0,9975,124.0,259207108,186394,1390642113,Asia,13-04-2021
Brazil,13601566,80157.0,358718,3687.0,12074798,117730.0,1168050,8318.0,63634,1678.0,28600000,133804,213745314,South America,13-04-2021
France,5106329,39113.0,99480,345.0,3972182,25998.0,1034667,5952.0,78094,1521.0,70448755,1077411,65387072,Europe,13-04-2021
Russia,4657883,8173.0,103601,338.0,4281776,9611.0,272506,2300.0,31907,710.0,124100000,850095,145983692,Europe,13-04-2021
UK,4375814,2472.0,127123,23.0,4106779,6718.0,141912,377.0,64193,1865.0,137848442,2022244,68166088,Europe,13-04-2021
Turkey,3962760,59187.0,34455,273.0,3424733,52104.0,503572,2951.0,46593,405.0,42199485,496171,85050360,Asia,13-04-2021
Italy,3793025,13439.0,115088,476.0,3158725,18160.0,519212,3526.0,62807,1906.0,53550491,886717,60391837,Europe,13-04-2021
Spain,3376548,6292.0,76625,100.0,3114053,3027.0,185870,2152.0,72196,1638.0,44285495,946898,46769025,Europe,13-04-2021
Germany,3031836,10772.0,79408,298.0,2700200,16300.0,252228,4662.0,36096,945.0,51559277,613841,83994506,Europe,13-04-2021
Poland,2599833,13210.0,59127,645.0,2219655,21873.0,321051,3513.0,68753,1564.0,13062929,345452,37813984,Europe,13-04-2021
Argentina,2579000,27001.0,58174,217.0,2262875,15751.0,257951,3836.0,56655,1278.0,9743345,214041,45521023,South America,13-04-2021
Colombia,2569314,16377.0,66482,326.0,2408624,12891.0,94208,4299.0,50076,1296.0,13439422,261936,51307978,South America,13-04-2021
Mexico,2281840,1627.0,209702,364.0,1812694,2773.0,259444,4798.0,17553,1613.0,6279527,48306,129994567,North America,13-04-2021
Iran,2118212,24760.0,65055,291.0,1729293,9209.0,323864,4481.0,24969,767.0,13866887,163457,84834876,Asia,13-04-2021
Ukraine,1872785,11680.0,37758,457.0,1430234,14019.0,404793,177.0,43026,867.0,8716400,200254,43526620,Europe,13-04-2021
Peru,1659707,6387.0,55489,259.0,1584425,9183.0,19793,2599.0,49794,1665.0,10086002,302598,33331387,South America,13-04-2021
Czechia,1585100,3871.0,28105,77.0,1482989,346.0,74006,1144.0,147800,2621.0,14635011,1364620,10724603,Europe,13-04-2021
Indonesia,1577526,5702.0,42782,126.0,1426145,6349.0,108599,0.0,5720,155.0,13510828,48989,275790702,Asia,13-04-2021
South Africa,1559960,847.0,53423,67.0,1485315,959.0,21222,546.0,26045,892.0,10181143,169985,59894339,Africa,13-04-2021
Netherlands,1364025,6685.0,16820,29.0,1140370,5943.0,206835,782.0,79467,980.0,11292587,657897,17164681,Europe,13-04-2021
Chile,1088710,5790.0,24518,35.0,1020925,8021.0,43267,3203.0,56571,1274.0,12021128,624639,19244919,South America,13-04-2021
Canada,1078562,7546.0,23392,36.0,976877,4352.0,78293,928.0,28382,616.0,29251338,769737,38001715,North America,13-04-2021
Romania,1012373,3883.0,25441,193.0,915464,5166.0,71468,1530.0,52903,1329.0,7736296,404269,19136495,Europe,13-04-2021
Iraq,941078,8179.0,14796,39.0,826323,5791.0,99959,477.0,22994,362.0,8599946,210131,40926514,Asia,13-04-2021
Belgium,927229,1753.0,23503,30.0,781818,3568.0,121908,899.0,79732,2021.0,11723475,1008102,11629250,Europe,13-04-2021
Sweden,885378,8880.0,13721,4.0,708841,1004.0,162816,391.0,87240,1352.0,7847033,773205,10148706,Europe,13-04-2021
Philippines,884758,8546.0,15285,136.0,703885,322.0,165588,750.0,7991,138.0,10857391,98059,110723047,Asia,13-04-2021
Israel,836334,176.0,6309,5.0,826768,274.0,3257,231.0,90930,686.0,13838957,1504629,9197590,Asia,13-04-2021
Portugal,828173,408.0,16923,5.0,785809,746.0,25441,118.0,81407,1663.0,9563681,940077,10173293,Europe,13-04-2021
Pakistan,729920,4318.0,15619,118.0,638267,3432.0,76034,4198.0,3255,70.0,10829994,48296,224242164,Asia,13-04-2021
Hungary,728078,2837.0,23980,272.0,431124,2050.0,272974,1209.0,75519,2487.0,4976613,516191,9641034,Europe,13-04-2021
Bangladesh,697985,6028.0,9891,69.0,585966,4853.0,102128,0.0,4205,60.0,5070788,30551,165975757,Asia,13-04-2021
Jordan,672090,2790.0,7937,82.0,610614,6570.0,53539,729.0,65362,772.0,6372263,619716,10282548,Asia,13-04-2021
Serbia,648745,3572.0,5808,35.0,566122,5188.0,76815,247.0,74486,667.0,3617179,415307,8709642,Europe,13-04-2021
Switzerland,625367,2241.0,10472,6.0,561861,1567.0,53034,214.0,71846,1203.0,6437818,739614,8704294,Europe,13-04-2021
Austria,581263,2313.0,9748,42.0,541786,3177.0,29729,599.0,64251,1078.0,27197861,3006367,9046752,Europe,13-04-2021
Japan,508802,2516.0,9425,25.0,468770,2854.0,30607,596.0,4033,75.0,10529634,83455,126171504,Asia,13-04-2021
Morocco,502961,684.0,8915,6.0,489288,656.0,4758,246.0,13501,239.0,6116735,164193,37253307,Africa,13-04-2021
Lebanon,499839,1985.0,6738,35.0,411710,5615.0,81391,844.0,73491,991.0,3740454,549957,6801360,Asia,13-04-2021
UAE,487697,2022.0,1537,4.0,471906,1731.0,14254,0.0,48848,154.0,40669721,4073485,9984012,Asia,13-04-2021
Saudi Arabia,400228,951.0,6773,8.0,384635,608.0,8820,962.0,11358,192.0,15919088,451759,35237991,Asia,13-04-2021
Bulgaria,378059,2944.0,14746,127.0,293351,3995.0,69962,799.0,54734,2135.0,2303963,333560,6907188,Europe,13-04-2021
Slovakia,372038,870.0,10716,86.0,255300,0.0,106022,506.0,68117,1962.0,2449747,448530,5461722,Europe,13-04-2021
Malaysia,363940,1767.0,1345,12.0,346295,1290.0,16300,199.0,11133,41.0,8292260,253658,32690753,Asia,13-04-2021
Panama,359121,329.0,6173,6.0,348953,399.0,3995,105.0,82218,1413.0,2252943,515796,4367896,North America,13-04-2021
Ecuador,347589,519.0,17351,53.0,298604,8290.0,31634,600.0,19470,972.0,1198764,67148,17852660,South America,13-04-2021
Belarus,337635,754.0,2373,10.0,327848,761.0,7414,0.0,35740,251.0,5570822,589700,9446877,Europe,13-04-2021
Greece,301103,4017.0,9054,93.0,254804,0.0,37245,802.0,29000,872.0,7185541,692053,10382930,Europe,13-04-2021
